video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=VnH1md-Db4M&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@USATODAY,USA TODAY,Starbucks raising prices again | USA TODAY,1.3K,1 year,"Starbucks prices are going up and will continue to increase, the coffee giant said. RELATED: https://bit.ly/3gh1CDd “We have ...",2024-01-26 19:44:03.794105
/watch?v=BJBDAAsf1j8&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@CBSMornings,CBS Mornings,What's behind Starbucks price increases?,5.7K,8 years,"Starbucks says customers will pay from 5 to 20 cents more on many drinks starting Tuesday. A large coffee, known as a ""venti,"" ...",2024-01-26 19:44:03.801738
/watch?v=8f6l_7ftuyc&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@Foxla,FOX 11 Los Angeles,Every Starbucks drink is half off on Thursday,751,1 month,"Starbucks customers can get half off the cost of any drink on Thursday, the company said. The coffee giant said the deal is good ...",2024-01-26 19:44:03.808589
/watch?v=95CU6taruDQ&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@WCNC,WCNC,People still buying Starbucks despite higher prices,157,8 months,We've all seen prices for everyday items increase over the last few years. Many times we're told the price hike is in response to ...,2024-01-26 19:44:03.816083
/watch?v=ZsdfCwQDWbM&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@KTLA5,KTLA 5,Hike in fast-food prices hitting California,230K,7 days,KTLA 5 News - Keeping Southern Californians informed since 1947.,2024-01-26 19:44:03.818754
/watch?v=1Ot7ZwWFCIc&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@PeterSchiffChannel,Epic Economist,Starbucks Report Massive Price Increases As Major Restaurant Chains Get Ready For Hard Times,30K,5 months,"Restaurant prices are still rising all across the United States, and even your regular coffee order at Starbucks is going to get more ...",2024-01-26 19:44:03.825213
/watch?v=7Pbh03REq2Y&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@Foxla,FOX 11 Los Angeles,Starbucks offers 50% off Thursday deal,2.7K,1 month,Starbucks customers can get half off the cost of any drink on Thursdays throughout the month of December. Subscribe to FOX 11 ...,2024-01-26 19:44:03.833947
/watch?v=MPDmLJrfNOM&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@KTLA5,KTLA 5,Feds say Starbucks illegally closed 6 L.A. area stores,58K,1 month,Six Los Angeles County Starbucks stores may soon reopen after the National Labor Relations Board said the coffee franchise ...,2024-01-26 19:44:03.836708
/watch?v=SgffZfAdqpw&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@KTLA5,KTLA 5,Starbucks is selling drinks for half the price: How to redeem the one-day deal,11K,3 months,KTLA 5 News - Keeping Southern Californians informed since 1947.,2024-01-26 19:44:03.843483
/watch?v=Zqq0NyW_ADQ&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@Wcpo9,WCPO 9,Starbucks price increase,139,12 years,The coffee shop has higher prices in the new year.,2024-01-26 19:44:03.846154
