video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=KaY5H-P2Q7c&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@local12WKRC,LOCAL 12,Starbucks: Prices increase 5 to 20 cents Tuesday,124,8 years,"NEW YORK (AP) -- Starbucks is raising prices again starting Tuesday, with the increases ranging from 5 to 20 cents for most ...",2024-01-26 19:31:18.646070
/watch?v=BJBDAAsf1j8&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@CBSMornings,CBS Mornings,What's behind Starbucks price increases?,5.7K,8 years,"Starbucks says customers will pay from 5 to 20 cents more on many drinks starting Tuesday. A large coffee, known as a ""venti,"" ...",2024-01-26 19:31:18.648915
/watch?v=B1l6omDsTr4&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@CBSNewYork,CBS New York,Starbucks Raising Prices,273,5 years,Starbucks is reportedly raising the price of brewed coffee by as much at 20 cents.,2024-01-26 19:31:18.651415
/watch?v=VnH1md-Db4M&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@USATODAY,USA TODAY,Starbucks raising prices again | USA TODAY,1.3K,1 year,"Starbucks prices are going up and will continue to increase, the coffee giant said. RELATED: https://bit.ly/3gh1CDd “We have ...",2024-01-26 19:31:26.635164
/shorts/DkpV5WzRFOo,/@SiliconValleyGirl,Silicon Valley Girl,How expensive is Starbucks Reserve,5.5M,1 year,"I visited a luxury Starbucks coffee shop in New York. In this video, I will show you how everything works and looks like there and ...",2024-01-26 19:31:26.639910
/watch?v=7QWF_EsDWxQ&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@CBSNewYork,CBS New York,Starbucks Raising Prices For Drip Coffee,281,5 years,Stabucks lovers are going to have to pay a bit more for drip coffee.,2024-01-26 19:31:26.642259
/watch?v=95CU6taruDQ&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@WCNC,WCNC,People still buying Starbucks despite higher prices,157,8 months,We've all seen prices for everyday items increase over the last few years. Many times we're told the price hike is in response to ...,2024-01-26 19:31:26.647724
/watch?v=_T6GWC2RV7E&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@local12WKRC,LOCAL 12,Starbucks: Prices for some drinks to go up by 5 to 20 cents,138,8 years,"NEW YORK (AP) -- Starbucks is raising prices again starting Tuesday, with the increases ranging from 5 to 20 cents for most ...",2024-01-26 19:31:26.653847
/watch?v=8EcdFifO_JI&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@abcactionnews,ABC Action News,Don't Waste Your Money: How to cope with Starbucks price increase,443,9 years,Don't Waste Your Money: How to cope with Starbucks price increase.,2024-01-26 19:31:26.658601
/watch?v=VCP7R_KW4_E&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@CNN,CNN,THE PRICE OF STARBUCKS AROUND THE WORLD,4.9K,7 years,"CNN reporters look at the different prices of a Starbucks latte around the world. To License This Clip, Click Here: ...",2024-01-26 19:31:26.665633
