video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=VnH1md-Db4M&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@USATODAY,USA TODAY,Starbucks raising prices again | USA TODAY,1.3K,1 year,"Starbucks prices are going up and will continue to increase, the coffee giant said. RELATED: https://bit.ly/3gh1CDd “We have ...",2024-01-26 19:25:29.779560
/watch?v=BJBDAAsf1j8&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@CBSMornings,CBS Mornings,What's behind Starbucks price increases?,5.7K,8 years,"Starbucks says customers will pay from 5 to 20 cents more on many drinks starting Tuesday. A large coffee, known as a ""venti,"" ...",2024-01-26 19:25:29.785782
/watch?v=95CU6taruDQ&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@WCNC,WCNC,People still buying Starbucks despite higher prices,157,8 months,We've all seen prices for everyday items increase over the last few years. Many times we're told the price hike is in response to ...,2024-01-26 19:25:29.789328
/watch?v=lCzS1jiv_HE&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@fox13seattle,FOX 13 Seattle,Starbucks selling Seattle’s Best Coffee brand to Nestle | FOX 13 Seattle,597,1 year,"Starbucks is selling its Seattle's Best Coffee brand to Nestle for an undisclosed amount. Nestle, which is based in Vevey, ...",2024-01-26 19:25:29.791474
/watch?v=5BLd4VjIvb8&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@fox13seattle,FOX 13 Seattle,Starbucks to change its rewards program | FOX 13 Seattle,820,1 year,It may take a bit longer to get freebies through Starbucks' rewards programs in the new year. Subscribe to FOX 13 Seattle: ...,2024-01-26 19:25:29.794849
/shorts/DkpV5WzRFOo,/@SiliconValleyGirl,Silicon Valley Girl,How expensive is Starbucks Reserve,5.5M,1 year,"I visited a luxury Starbucks coffee shop in New York. In this video, I will show you how everything works and looks like there and ...",2024-01-26 19:25:29.797447
/watch?v=0eA40FUiWV4&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@hannah_rheaume,Hannah Rheaume,Here’s why you need to visit the Starbucks Reserve Roastery in Seattle,411,11 months,"Okay fine, the Starbucks Reserve Roastery in Seattle isn't necessarily a secret but you should absolutely be going here over the ...",2024-01-26 19:25:29.800087
/watch?v=KaY5H-P2Q7c&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@local12WKRC,LOCAL 12,Starbucks: Prices increase 5 to 20 cents Tuesday,124,8 years,"NEW YORK (AP) -- Starbucks is raising prices again starting Tuesday, with the increases ranging from 5 to 20 cents for most ...",2024-01-26 19:25:29.802426
/watch?v=WKJ5fJz9UH4&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@starbucks,Starbucks Coffee,Visit to Starbucks Reserve® Roastery in Seattle a dream come true,59K,6 years,"Nopparat ""Yong"" Arpornsuwan's coffee knowledge, customer service and ability to create memorable moments have propelled ...",2024-01-26 19:25:29.807180
/watch?v=7nowpjBHhuU&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@komonews,KOMO News,Starbucks could be forced to reopen some Seattle-area stores,2.9K,1 month,Eight previously closed Seattle-area Starbucks stores could be reopening soon following a complaint from the National Labor ...,2024-01-26 19:25:29.810502
/shorts/g0Ds3s9JFMA,/@hannah_rheaume,Hannah Rheaume,I recently checked out the Starbucks Reserve in Seattle and it was… 😍 #starbucks #washington,131,10 months,"If you're a coffee lover AND visiting Seattle, you must visit With unique drinks like whiskey barrel aged cold brew, espresso ...",2024-01-26 19:25:29.812891
/watch?v=qzKelHXPCb0&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@fox13seattle,FOX 13 Seattle,Lawsuit alleges Starbucks summer drinks falsely advertised | FOX 13 Seattle,4.6K,1 year,"A New York woman is suing Starbucks, saying that their summer drinks do not contain actual fruit, and that customers are paying a ...",2024-01-26 19:25:29.815543
/watch?v=8D3e7W9SwL8&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@TimLeeLetsGo,Tim Lee,A Very Special Starbucks:  The Starbucks Reserve Roastery in Seattle,32K,4 years,"After walking in Seattle after a wonderful buffet and in need of coffee, we found ourselves at the Starbucks Reserved Roastery.",2024-01-26 19:25:29.819227
/shorts/a7JqO198rBw,/@komonews,KOMO News,Starbucks could be forced to reopen some Seattle-area stores,4.7K,1 month,Eight previously closed Seattle-area Starbucks stores could be reopening soon following a complaint from the National Labor ...,2024-01-26 19:25:29.822138
/watch?v=xmE3UjPWWtA&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@Wcpo9,WCPO 9,Starbucks raising prices next week,124,9 years,The Seattle-based company says the price of coffee beans is the reason for the price hike.,2024-01-26 19:25:29.824888
/watch?v=MqW_BFEk-PE&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@KING5Seattle,KING 5 Seattle,"Seattle coffee prices expected to rise with drought, shipping cost increases",636,2 years,"As Central America and parts of Brazil continue to experience severe drought and shipping costs remain inflated, the price of a ...",2024-01-26 19:25:29.827499
/watch?v=SKkdNp1OSko&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@OperationManifest,Operation Manifest,Things to do in Seattle - Starbucks Reserve Roastery ☕️,2.4K,1 year,"Grab a snack and coffee with us as we visit the Starbucks Reserve Roastery and Tasting Room in Seattle, Washington. Like and ...",2024-01-26 19:25:29.830041
/watch?v=Zqq0NyW_ADQ&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@Wcpo9,WCPO 9,Starbucks price increase,139,12 years,The coffee shop has higher prices in the new year.,2024-01-26 19:25:29.832825
/watch?v=yz6o31J-eUk&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@starbucks,Starbucks Coffee,Starbucks: The First 50 Years,104K,2 years,"See how Starbucks, a little coffee shop from Seattle, became a beloved global brand over its first 50 years—all while managing to ...",2024-01-26 19:25:29.835680
/watch?v=h1G1LlCbEPc&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@KING5Seattle,KING 5 Seattle,Starbucks employees in Seattle join growing unionization efforts across country,1.3K,1 year,"Organizers from across the nation joined Seattle-area Starbucks workers Saturday in a march and rally, where they shared stories ...",2024-01-26 19:25:37.894917
/watch?v=kYKQK8gCFyc&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@FoxBusiness,Fox Business,Starbucks opens high-end Reserve coffee bar in Seattle,7.5K,5 years,FBN's Cheryl Casone on Starbucks opening its first Reserve store in Seattle.,2024-01-26 19:25:37.897020
/watch?v=NP4NL6evnD0&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@FutureProofTV,Future Proof,The PROBLEM With Starbucks Coffee,1M,1 year,Starbucks coffee is a giant in the modern coffee sphere and the brand has become a symbol for the coffee shop experience we ...,2024-01-26 19:25:37.899431
/shorts/cvkpA4W7Gig,/@breathingdreamsbrittany,Breathing Dreams,Inside the Starbucks Roastery Seattle #starbucks,201,5 months,The Starbucks Reserve Roastery was even better than I had hoped. I loved all the specialty coffees and snacks I tried and I would ...,2024-01-26 19:25:37.901822
/watch?v=FE4GGu8Vr-A&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@USATODAY,USA TODAY,Starbucks new flagship store in Seattle,13K,9 years,Starbucks opens a new 15000 square foot store in the chic Capitol Hill area of Seattle. **************** Humankind: Amazing ...,2024-01-26 19:25:37.906404
/watch?v=oj7NayuuK2I&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@fox13seattle,FOX 13 Seattle,2 Seattle Starbucks locations pushing to unionize | FOX 13 News,612,2 years,A rally was held outside the Starbucks headquarters in Seattle Subscribe to FOX 13 Seattle: ...,2024-01-26 19:25:37.909675
/watch?v=XUBeH7VQaFY&pp=ygUkU3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBzZWF0dGxl,/@CNBC,CNBC,How Starbucks Became An $80B Business,1.7M,5 years,"In its 47-year history, Starbucks has transformed from a single coffee bean store in Seattle to a 30000 cafe international coffee ...",2024-01-26 19:25:37.913910
